familyid,hhsize,age,lifesatis,dwellingunit,ownhome,employstatus,salary,owncar,numbercars,ownbusiness,healthins,collegeeduc,highlifesatis,logage,employed,retired
3401,2,71,2,1,1,4,0,1,1,0,0,0,1,4.2626801,0,1
9267,3,52,3,1,1,1,0,1,2,0,1,0,0,3.9512436,1,0
9204,2,22,2,3,0,1,0,1,1,0,1,0,1,3.0910425,1,0
8075,2,49,3,3,0,1,180,1,1,0,0,0,0,3.8918202,1,0
9490,1,76,2,2,0,1,0,0,0,0,0,0,1,4.3307333,1,0
9508,2,47,3,1,0,1,0,1,1,0,0,0,0,3.8501475,1,0
7985,2,57,3,3,0,1,62,1,1,0,1,0,0,4.0430512,1,0
9385,5,56,3,2,0,1,0,0,0,0,1,0,0,4.0253515,1,0
8574,4,25,3,2,0,1,0,1,2,0,1,0,0,3.2188759,1,0
397,2,38,3,3,0,1,0,0,0,0,1,0,0,3.6375861,1,0
1006,3,53,3,3,1,1,0,1,3,0,1,0,0,3.9702919,1,0
1917,1,75,1,1,1,4,0,1,1,0,1,0,1,4.3174882,0,1
313,3,60,3,1,1,1,0,1,3,0,1,0,0,4.0943446,1,0
6466,2,69,2,1,1,1,0,1,1,0,1,0,1,4.2341065,1,0
5993,1,41,3,1,0,1,0,1,1,0,1,0,0,3.713572,1,0
5925,4,42,3,1,1,1,0,1,1,0,1,0,0,3.7376697,1,0
9044,2,68,2,1,1,1,0,1,2,0,1,0,1,4.2195077,1,0
5819,3,30,3,3,0,1,0,1,1,0,1,0,0,3.4011974,1,0
2041,5,44,2,1,1,1,0,1,4,0,1,1,1,3.7841897,1,0
2319,4,39,1,1,1,1,0,1,2,0,1,0,1,3.6635616,1,0
1851,3,32,2,4,0,1,0,1,2,0,1,1,1,3.4657359,1,0
3143,4,52,1,1,1,1,0,1,2,0,1,0,1,3.9512436,1,0
3234,2,25,2,1,0,3,0,1,2,0,0,0,1,3.2188759,0,0
9032,2,60,2,1,0,5,0,1,1,0,1,0,1,4.0943446,0,0
